"fundoname","tpfundo","descricaofundo","preco","marketcap","dtcarga","p_vp","rentabilidade_mes","ultimo_rendimento","price","percentcharge"
"SAAG11","Outros: Agências de Bancos","FII SANT AGE","-","627,9 M","2023-08-05 13:45:59.117600","0,96","N/A %","0,93","R$ 106,61","0,00%"
"SACL11","Fundo Misto: Indefinido","FII S CARLOS","-","-","2023-08-05 13:45:59.119168","N/A","N/A %","N/A","R$ 0,00","0,00%"
"SADI11","Papel: Papéis","SANTANDER PAPEIS IMOB CDI FDO INV IMOB","14,48","147,3 M","2023-08-05 13:45:59.120663","0,90","-1,23 %","1,00","R$ 85,98","-0,88%"
"SAIC11B","Tijolo: Lajes Corporativas","Sia Corporate","-","79,3 M","2023-08-05 13:45:59.122972","0,68","N/A %","0,66","R$ 37,88","0,00%"
"SBCL11","Tijolo: Imóveis Industriais e Logísticos","FRAM CAPITAL SBCLOG","-","23,7 M","2023-08-05 13:45:59.127868","N/A","N/A %","N/A","R$ 0,00","0,00%"
"SCPF11","Tijolo: Shoppings","SCP","4,65","49,2 M","2023-08-05 13:45:59.129346","0,43","0,79 %","0,02","R$ 5,08","0,40%"
"SDIL11","Tijolo: Imóveis Industriais e Logísticos","SDI Logística Rio","9,89","613,2 M","2023-08-05 13:45:59.130709","1,02","2,03 %","0,75","R$ 96,50","-0,94%"
"SDIP11","Outros: Indefinido","FII SDI PROP","-","-","2023-08-05 13:45:59.132092","N/A","N/A %","N/A","R$ 0,00","0,00%"
"SEED11","Fundo Misto: Indefinido","FII HEDGE SD","11,08","147,6 M","2023-08-05 13:45:59.133594","1,10","0,82 %","0,48","R$ 98,99","-0,01%"
"SEQR11","Fundo Misto: Misto","SEQUOIA III RENDA IMOBILIÁRIA","12,06","150,3 M","2023-08-05 13:45:59.135596","0,73","0,61 %","0,71","R$ 67,83","0,73%"
"SFND11","Tijolo: Lajes Corporativas","São Fernando","-","8,6 M","2023-08-05 13:45:59.137333","9,43","N/A %","4,25","R$ 83,07","0,00%"
"SHDP11B","Tijolo: Shoppings","Shopping Parque Dom Pedro","-","1,9 B","2023-08-05 13:45:59.139449","N/A","N/A %","7,35","R$ 0,00","0,00%"
"SHOP11","Tijolo: Shoppings","Multi Shoppings","-","70,4 M","2023-08-05 13:45:59.141048","1,43","-2,13 %","N/A","R$ 68,00","-1,45%"
"SHPH11","Tijolo: Shoppings","Shopping Patio Higienopolis","6,13","543,0 M","2023-08-05 13:45:59.142490","0,89","0,12 %","4,20","R$ 795,75","2,02%"
"SHSO11","Fundo Misto: Indefinido","FII HEDGE SH","-","20,0 M","2023-08-05 13:45:59.143908","N/A","N/A %","1,01","R$ 0,00","0,00%"
"SNAG11","Fiagro: Papéis","SUNO AGRO – FIAGRO-IMOBILIÁRIO","12,07","302,1 M","2023-08-05 13:45:59.147921","0,10","-89,87 %","0,12","R$ 10,21","0,29%"
"SNLG11","FIInfra: Imóveis Industriais e Logísticos","FII SUNO LG","7,49","119,8 M","2023-08-05 13:45:59.158166","0,58","-0,38 %","0,35","R$ 36,83","-0,41%"
"SOLR11","Tijolo: Imóveis Comerciais - Outros","SOLARIUM FII","5,78","59,4 M","2023-08-05 13:45:59.159815","1,19","14,00 %","4,77","R$ 1.128,06","14,00%"
"SNEL11","Fundo Misto: Indefinido","SUNO ENERGIAS LIMPAS FII","-","50,6 M","2023-08-05 13:45:59.151198","0,99","N/A %","N/A","R$ 100,00","0,00%"
"SPAF11","Tijolo: Shoppings","SPA Fundo de Investimento Imobiliário – FII","-","11,4 M","2023-08-05 13:45:59.161253","N/A","N/A %","9,75","R$ 0,00","0,00%"
"SPTW11","Tijolo: Lajes Corporativas","SP Downtown","11,91","100,6 M","2023-08-05 13:45:59.163439","0,75","0,05 %","0,42","R$ 41,82","0,77%"
"SPVJ11","Tijolo: Shoppings","FUND. INVEST. IMOB. SUCCESPAR VAREJO","-","734,8 M","2023-08-05 13:45:59.165272","N/A","N/A %","0,67","R$ 0,00","0,00%"
"SPXS11","Fundo Misto: Indefinido","FII SPX SYN","9,37","120,4 M","2023-08-05 13:45:59.166810","1,00","2,61 %","1,20","R$ 96,97","0,54%"
"TBOF11","Tijolo: Lajes Corporativas","TB Office","5,29","2,1 M","2023-08-05 13:45:59.171418","74,10","N/A %","0,82","R$ 15,56","0,00%"
"TCIN11","Papel: Fundo de Fundos","FDO. INVEST. IMOB. TOURMALET V - ED. CIDADE NOVA","-","107,1 M","2023-08-05 13:45:59.173999","1,08","0,38 %","N/A","R$ 136,47","2,29%"
"TCPF11","Fundo Misto: Misto","TREECORP REAL ESTATE FDO INV IMOB - I","1.576,98","37,2 M","2023-08-05 13:45:59.175932","0,01","N/A %","2,01","R$ 1,26","0,00%"
"TELD11","Fundo Misto: Fundo de Desenvolvimento","TELLUS DESENVOLVIMENTO LOGÍSTICO","-","11,1 M","2023-08-05 13:45:59.177410","N/A","N/A %","N/A","R$ 0,00","0,00%"
"TELF11","Fundo Misto: Indefinido","FII-TELF","-","-","2023-08-05 13:45:59.179464","N/A","N/A %","N/A","R$ 0,00","0,00%"
"TEPP11","Tijolo: Lajes Corporativas","TELLUS PROPERTIES - FDO INV. IMOB","7,23","401,2 M","2023-08-05 13:45:59.180922","0,94","1,10 %","0,58","R$ 89,45","0,51%"
"TFOF11","Fundo de Fundos: Fundo de Fundos","FII HTOPFOF","-","103,1 M","2023-08-05 13:45:59.182456","1,14","N/A %","2,37","R$ 138,00","0,00%"
"TGAR11","Fundo Misto: Fundo de Desenvolvimento","TG Ativo Real","13,88","1,6 B","2023-08-05 13:45:59.184029","1,02","-0,04 %","1,40","R$ 122,20","0,25%"
"THRA11","Tijolo: Lajes Corporativas","FII BM THERA","-","14,1 M","2023-08-05 13:45:59.186429","14,52","N/A %","0,13","R$ 138,50","0,00%"
"THRA11B","Outros: Indefinido","FII BM THERA","-","-","2023-08-05 13:45:59.189286","N/A","N/A %","N/A","R$ 0,00","0,00%"
"TORD11","Fundo Misto: Misto","TORDESILHAS EI FDO. INV. IMOB.","13,00","435,8 M","2023-08-05 13:45:59.194154","0,24","-3,54 %","0,05","R$ 3,00","-0,99%"
"TRNT11","Tijolo: Lajes Corporativas","Torre Norte","3,68","773,8 M","2023-08-05 13:45:59.195476","0,64","8,76 %","0,48","R$ 126,00","8,15%"
"SNCI11","Fundo Misto: Papéis","SUNO RECEBÍVEIS IMOBILIÁRIOS FDO DE INV IMOB","12,81","416,0 M","2023-08-05 13:45:59.149462","1,00","-0,03 %","1,10","R$ 99,47","-0,03%"
"SNID11","FIInfra: Fundo de Desenvolvimento","SUNO INFRA FI","-","-","2023-08-05 13:45:59.156472","N/A","0,14 %","N/A","R$ 100,93","0,04%"
"TRXF11","Tijolo: Imóveis Comerciais - Outros","TRX Real Estate","9,52","1,3 B","2023-08-05 13:45:59.199629","1,06","1,35 %","0,90","R$ 111,84","0,04%"
"TRXB11","Fundo Misto: Fundo de Desenvolvimento","TRX REAL ESTATE II FDO. INVEST. IMOB.","8,40","323,1 M","2023-08-05 13:45:59.198181","1,17","0,26 %","0,92","R$ 132,45","0,08%"
